[10-Jun-2024 20:54:43 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:43 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:49 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:49 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/manageLike</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 20:54:49 UTC] PHP Notice:  Function register_rest_route was called <strong>incorrectly</strong>. The REST API route definition for <code>university/v1/search</code> is missing the required <code>permission_callback</code> argument. For REST API routes that are intended to be public, use <code>__return_true</code> as the permission callback. Please see <a href="https://wordpress.org/documentation/article/debugging-in-wordpress/">Debugging in WordPress</a> for more information. (This message was added in version 5.5.0.) in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-includes/functions.php on line 5905
[10-Jun-2024 21:23:04 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/404.php on line 15
[10-Jun-2024 21:25:24 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/404.php on line 15
[10-Jun-2024 21:26:36 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/404.php on line 15
[10-Jun-2024 21:26:45 UTC] PHP Parse error:  syntax error, unexpected token ")" in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/404.php on line 15
[10-Jun-2024 21:30:31 UTC] PHP Parse error:  syntax error, unexpected token "<", expecting end of file in /Users/amyrowell/Local Sites/fictional-university/app/public/wp-content/themes/fictional-university-theme/404.php on line 13
